,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,dist_metro
89,60885.60885608856,542.0,departamento,4.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,158.22310978825166
90,94117.64705882352,170.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
91,59626.66666666666,150.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,462.0350255356526
92,72941.17647058824,85.0,departamento,2.0,1.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,193.4144033602618
93,4969.69696969697,165.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,599.411453173178
94,4719.76401179941,339.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,578.960134171887
95,5000.0,450.0,departamento,4.0,5.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,418.33372690183865
96,5000.0,220.0,departamento,2.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,360.07620264907905
97,74786.32478632478,234.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,313.1959007401586
98,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,753.5000414520964
99,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
100,106481.48148148147,216.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
101,77709.63742690059,342.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,716.7420229062427
102,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
103,7333.333333333333,750.0,departamento,4.0,4.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,215.68018835941623
104,102926.524,250.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,693.9197735527168
105,104807.69230769233,208.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
106,59090.90909090909,110.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
107,6701.030927835051,194.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,995.2739413166875
108,84319.52662721893,169.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,159.77477226717042
109,98445.59585492229,193.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
110,97500.0,150.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,972.1269548615057
111,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,841.6484209037942
112,106451.6129032258,62.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
113,89361.70212765958,235.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,762.3523024269728
114,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,753.5000414520964
115,83068.78306878307,189.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
116,98445.59585492229,193.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
117,7068.062827225131,191.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,1005.1553661656553
118,169708.0291970803,274.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,814.3990047131056
119,4719.76401179941,339.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,578.960134171887
120,5263.1578947368425,171.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,995.2739413166875
121,101851.85185185184,216.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
122,68695.65217391304,230.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,318.4669465618746
123,94900.62790697676,172.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
124,83390.4109589041,146.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,316.21445156783756
