,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
128,2498650,2498650,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
129,2221180,2221180,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
130,2226180,2226180,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
131,2448290,2448290,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
132,2453290,2453290,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
133,2236180,2236180,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
138,4350000,4350000,2,2,1,ACACIAS,DEPARTAMENTO EN VENTA BENITO JUAREZ ACACIAS,BENITO JUAREZ,19.3296058799,19.3296058799
139,2221180,2221180,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
140,9900000,9900000,5,4+,3,SAN MATEO TLALTENANGO,CASA EN VENTA SAN MATEO TLATENANGO CUAJIPALPA,SAN MATEO,19.483157965,19.483157965
141,4000000,4000000,2,2,2,XOCO,EJE 8 POPOCATEPTL XOCO,XOCO,19.3618327938,19.3618327938
143,6480000,6480000,3,2,2,ALCANTARILLA,CASA EN CONDOMINIO EN EL BOSQUE,EL BOSQUE,19.3928429751,19.3928429751
146,10500000,10500000,2,2,2,GRANADA,DEPARTAMENTO EN VENTA MIGUEL HIDALGO POLANCO,MIGUEL HIDALGO,19.4359898482,19.4359898482
147,6500000,6500000,2,2,2,ANAHUAC I SECC,DEPARTAMENTO EN VENTA MIGUEL HIDALGO POLANCO,MIGUEL HIDALGO,19.4359898482,19.4359898482
149,6490000,6490000,4,3,4+,REFORMA IZTACCIHUATL SUR,CASA EN VENTA IZTACALCO,REFORMA IZTACCIHUATL SUR,19.3776166248,19.3776166248
153,1200000,1200000,2,1,0,SANTA BARBARA,DEPARTAMENTO EN AZCAPOTZALCO EN LA UNIDAD FERRERIA ATRAS DE LA ARENA CDMX DE 2 RECAMARAS,FERRERIA,19.5032875621,19.5032875621
156,6350000,6350000,2,2,2,HIPODROMO,DEPARTAMENTO EN VENTA COL CONDESA 100M2,CONDESA,19.4147504858,19.4147504858
157,10500000,10500000,3,3,2,CONTADERO,VENTA EXCELENTE CASA EN CALLE PRIVADA DE TEJOCOTES 33A CONTADERO CUAJIMALPACDMX,TEJOCOTE,19.3828144788,19.3828144788
162,24891930,24891930,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
163,49900000,49900000,4,4+,4+,NAPOLES,ELEGANTE RESIDENCIA EN JARDINES DEL PEDREGAL,JARDINES DEL PEDREGAL,19.3059286486,19.3059286486
164,3371911,3371911,2,2,1,8 DE AGOSTO,"DEPARTAMENTO EN PREVENTA EN NOVA HABITA, SAN PEDRO DE LOS PINOS, 2 RECAMARAS",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
165,5500000,5500000,2,2,2,INSURGENTES MIXCOAC,ENQUENTRO INSURGENTES MIXCOAC - PATRIOTISMO 883   |  2HAB.,MIXCOAC,19.372884049,19.372884049
166,2488000,2488000,2,1,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
167,2881000,2881000,2,3,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
168,2477000,2477000,2,1,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
169,4896000,4896000,2,1,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
170,2613000,2613000,2,2,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
171,2745000,2745000,2,2,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
173,1722809,1722809,3,2,1,TEPALCATES,"CANAL DE SAN JUAN 2 - TEPALCATES, IZTP  | 3 HAB",SAN JUAN,19.3783640536,19.3783640536
174,2000000,2000000,2,1,1,BONDOJITO,CONGRESO TOWERS II- COL. BONDOJITO | 2 HAB,BONDOJITO,19.4669013795,19.4669013795
182,2233146,2233146,2,1,1,HOGAR Y SEGURIDAD,"ALUX - CUITLAHUAC 3405, NUEVA SANA MARIA AZCAPOTZALCO | 2 HAB",CUITLAHUAC,19.2640975664,19.2640975664
183,11000000,11000000,5,3,3,LOS ALPES,"CASA EN VENTA CON UN DEPARTAMENTO INDEPENDIENTE, CALLE ETNA EN LAS AGUILAS, CIUDAD DE MEXICO",ALPES,19.3605023159,19.3605023159
184,4100000,4100000,1,1,2,SAN DIEGO CHURUBUSCO,DEPARTAMENTO EN VENTA COYOACAN,SAN DIEGO CHURUBUSCO,19.3557844724,19.3557844724
185,16000000,16000000,3,4+,0,XOCO,"VENTA DE CASA A ESTRENAR EN XOCO, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
187,2900000,2900000,3,4+,0,BOSQUE DE LAS LOMAS,"!EXCLUSIVA! BOSQUES DE REFORMA  CASA NUEVA  EN VENTA, BOSQUES DE LAS LOMAS (JS/MC)",BOSQUES DE LAS LOMAS,19.4035606676,19.4035606676
189,3400000,3400000,3,1,0,TEZOZOMOC,"VENTA CASA EN AZCAPOTZALCO, EN TEZOZOMOC.",TEZOZOMOC,19.489479925,19.489479925
191,9900000,9900000,3,2,2,COL DEL VALLE NTE,DEPARTAMENTO EN VENTA BENITO JUAREZ DEL VALLE,BENITO JUAREZ,19.3296058799,19.3296058799
192,3200000,3200000,2,2,2,NONOALCO,DEPARTAMENTO EN VENTA BENITO JUAREZ MIXCOAC,BENITO JUAREZ,19.3296058799,19.3296058799
193,3122000,3122000,2,2,2,AMERICAS UNIDAS,DEPARTAMENTO EN VENTA BENITO JUAREZ ROOF GARDEN,BENITO JUAREZ,19.3296058799,19.3296058799
195,1100000,1100000,2,1,0,MORELOS,VENDO HERMOSO DEPARTAMENTO COL MORELOS ALCALDIA CUAUHTEMOC CRED INFONAVIT FOVISSSTE BANCARIOS,CUAUHTEMOC,19.3200700913,19.3200700913
203,960000,960000,3,2,2,JUAREZ,NUEVO DESARROLLO RESIDENCIAL A TAN SOLO 15 MIN DEL NUEVO AEROPUERTO CON ALBERCA,JUAREZ,19.4270038256,19.4270038256
206,8600000,8600000,4,3,0,SAN SIMON,"CASA EN VENTA UBICADA EN BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
207,2905610,2905610,2,2,0,PORTALES SUR,"DEPARTAMENTO EN VENTA EN PORTALES NORTE, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
209,9369500,9369500,3,2,2,COL DEL VALLE CENTRO,TOWNHOUSES DE LUJO EN BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
210,3400000,3400000,2,2,1,ASTURIAS,VIADUCTO ROMA SUR,ASTURIAS,19.4046308544,19.4046308544
211,16500000,16500000,3,4+,0,LOMAS DEL CHAMIZAL,"CASA EN VENTA UBICADO EN LOMAS DE TECAMACHALCO, MEXICO",LOMAS DEL CHAMIZAL,19.3931123205,19.3931123205
212,7240000,7240000,2,2,0,NAPOLES,"DEPARTAMENTO EN VENTA UBICADO EN COL. NAPOLES, BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
213,2650000,2650000,2,2,0,NINOS HEROES,"DEPARTAMENTO EN VENTA UBICADO EN NINOS HEROES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
214,17900000,17900000,3,3,0,LA ROSITA,"DEPARTAMENTO EN VENTA EN SANTA FE, CUAJIMALPA DE MORELOS, CDMX",SANTA FE,19.3892631023,19.3892631023
215,3747543,3747543,1,1,0,LOMAS DE SANTA FE,"DEPARTAMENTO EN VENTA UBICADO EN SANTA FE CUAJIMALPA, CUAJIMALPA DE MORELOS, MEXICO",SANTA FE,19.3892631023,19.3892631023
216,3093657,3093657,2,2,0,ZACAHUITZCO,"DEPARTAMENTO EN PREVENTA EN LA PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
217,1650000,1650000,2,1,0,JESUS DEL MONTE,"DEPARTAMENTO EN VENTA EN CUAJIMALPA DE MORELOS, CIUDAD DE MEXICO",JESUS DEL MONTE,19.366427722,19.366427722
218,3871000,3871000,2,2,0,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN VENTA UBICADO EN MANZANASTITLA, CUAJIMALPA DE MORELOS, CIUDAD DE MEXICO",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
219,6800000,6800000,2,2,0,CUAUHTEMOC,DEPARTAMENTO CON BALCON EN PREVENTA RIO GUADALQUIVIR COL CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
220,2800000,2800000,6+,4+,0,PUEBLO NUEVO BAJO,"CASA EN VENTA EN PUEBLO NUEVO BAJO, LA MAGDALENA CONTRERAS, CIUDAD DE MEXICO",PUEBLO NUEVO BAJO,19.306936172,19.306936172
221,11500000,11500000,4,4+,0,OLIVAR DE LOS PADRES,"CASA EN VENTA EN OLIVAR DE LOS PADRES, ALVARO OBREGON, CIUDAD DE MEXICO",LOS PADRES,19.3198377904,19.3198377904
223,4695000,4695000,3,2,0,NAPOLES,DEPARTAMENTO EN VENTA TEXAS COL NAPOLES,NAPOLES,19.3936944672,19.3936944672
225,4061500,4061500,2,2,0,ROMA SUR,"DEPARTAMENTO EN VENTA EN ROMA SUR, CUAUHTEMOC, CIUDAD DE MEXICO",CUAUHTEMOC,19.3200700913,19.3200700913
226,7426000,7426000,3,2,1,ESCANDON I SECC,"DEPARTAMENTO EN VENTA EN PROGRESO 40, COL. ESCANDON I SECCION, 3 RECAMARAS.",ESCANDON I,19.4040332209,19.4040332209
227,4822000,4822000,2,2,1,ESCANDON I SECC,"DEPARTAMENTO EN VENTA EN PROGRESO 40, COL. ESCANDON I SECCION, 2 RECAMARAS",ESCANDON I,19.4040332209,19.4040332209
229,6000000,6000000,1,1,0,ANZURES,"DEPARTAMENTO TIPO LOFT EN VENTA, ANZURES, MIGUEL HIDALGO, CIUDAD DE MEXICO",MIGUEL HIDALGO,19.4359898482,19.4359898482
230,25000000,25000000,4,3,0,SAN FRANCISCO,"CASA EN VENTA EN  LA CONCHITA, COYOACAN, CIUDAD DE MEXICO",LA CONCHITA,19.3916864792,19.3916864792
231,4190000,4190000,3,3,0,2DA AMP EL PIRU,"DEPARTAMENTO EN VENTA EN SANTA FE, VASCO DE QUIROGA , ALVARO OBREGON, CIUDAD DE MEXICO",VASCO DE QUIROGA,19.4946542586,19.4946542586
232,2940000,2940000,3,2,2,CAROLA,"DEPARTAMENTO EN VENTA EN STAR PLATINO SAN ANTONIO, COL. SAN PEDRO DE LOS PINOS, 3 RECAMARAS.",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
233,3387249,3387249,2,2,1,ANAHUAC I SECC.,"DEPARTAMENTO  EN PREVENTA EN INSPIRIA ANAHUAC, MIGUEL HIDALGO, CDMX, 2 RECAMARAS",MIGUEL HIDALGO,19.4359898482,19.4359898482
234,6000000,6000000,1,1,0,ANZURES,"DEPARTAMENTO TIPO LOFT EN VENTA, ANZURES, MIGUEL HIDALGO, CIUDAD DE MEXICO",MIGUEL HIDALGO,19.4359898482,19.4359898482
235,25000000,25000000,4,3,0,SAN FRANCISCO,"CASA EN VENTA EN  LA CONCHITA, COYOACAN, CIUDAD DE MEXICO",LA CONCHITA,19.3916864792,19.3916864792
236,6290000,6290000,5,4+,0,HIPODROMO,CASA EN VENTA 5 HABITACIONES HIPODROMO CONDESA CDMX,HIPODROMO CONDESA,19.4093352026,19.4093352026
237,16980000,16980000,3,3,0,REAL DE LAS LOMAS,"CASA EN VENTA EN PRIVADA EN LOMAS DE CHAPULTEPEC, MIGUEL HIDALGO",MIGUEL HIDALGO,19.4359898482,19.4359898482
238,4500000,4500000,3,2,0,CODIGO 2,"VENTA DE DEPARTAMENTO EN LA COLONIA DEL VALLE, BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
240,11916000,11916000,3,2,1,ESCANDON I SECC,"DEPARTAMENTO EN VENTA EN PROGRESO 40, COL. ESCANDON I SECCION, 3 RECAMARAS",ESCANDON I,19.4040332209,19.4040332209
241,12800000,12800000,3,3,0,LOMAS DEL CHAMIZAL,"DEPARTAMENTO EN VENTA EN CONDOMINIO AVIVIA, CUAJIMALPA, CDMX",LOMAS DEL CHAMIZAL,19.3931123205,19.3931123205
242,5400000,5400000,2,2,0,LOS ALPES,"DEPARTAMENTO EN PREVENTA, LOS ALPES, ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
243,4200000,4200000,3,1,0,COL DEL VALLE SUR,"VENDO DEPARTAMENTO EN COL. DEL VALLE, BENIT JUAREZ, CIUDAD DE MEXICO",JUAREZ,19.4270038256,19.4270038256
244,3720000,3720000,2,2,0,PORTALES SUR,"DEPARTAMENTO EN VENTA EN PORTALES SUR, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
245,31047000,31047000,4,4+,0,LOMAS DE VISTA HERMOSA,"DEPARTAMENTO EN VENTA EN CUAJIMALPA, CIUDAD DE MEXICO",VISTA HERMOSA,19.548099968,19.548099968
246,2850000,2850000,1,1,0,ANZURES,DEPARTAMENTO EN VENTA CON TERRAZA PRIVADA EN ANZURES,ANZURES,19.4314355481,19.4314355481
247,3800000,3800000,3,1,0,ADOLFO LOPEZ MATEOS,"CASA EN VENTA EN CUAJIMALPA DE MORELOS, CDMX",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
248,3250000,3250000,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO NUEVO EN VENTA, UBICADO EN LA CALLE SUIZA  ALC. BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
250,5300000,5300000,4,3,0,AVANTE,"CASA EN VENTA EN AVANTE, COYOACAN, CIUDAD DE MEXICO",AVANTE,19.3282199085,19.3282199085
251,0,0,2,2,0,SANTA FE,DEPARTAMENTO EN VENTA EN SANTA FE CROSMOCRAT,SANTA FE,19.3892631023,19.3892631023
252,4550000,4550000,2,2,0,MODELO PENSIL,"DEPARTAMENTO EN VENTA EN MIGUEL HIDALGO, CDMX",MODELO PENSIL,19.4464153475,19.4464153475
253,1650000,1650000,2,1,1,BUENAVISTA,DEPARTAMENTO PB VENTA 2 RECAMARAS COL BUENAVISTA ALCALDIA CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
255,3843442,3843442,2,2,2,NARVARTE PONIENTE,"DEPARTAMENTO EN PREVENTA EN EPIC SAN BORJA, BENITO JUAREZ, CDMX 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
257,2190000,2190000,2,1,0,IGNACIO ZARAGOZA,"VENTA DE DEPARTAMENTO EN CDMX, VENUSTIANO CARRANZA",VENUSTIANO CARRANZA,19.43921016,19.43921016
258,2150000,2150000,3,1,0,ESPERANZA,"DEPARTAMENTO EN VENTA EN CLAVIJERO, ZONA CENTRO EN CUAUHTEMOC, CIUDAD DE MEXICO",ESPERANZA,19.4204440063,19.4204440063
259,2943410,2943410,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO EN PREVENTA EN COLONIA PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
260,4310368,4310368,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO EN VENTA EN PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
261,2483694,2483694,2,2,0,ALGARIN,"VENTA DE DEPARTAMENTO ALCALDIA BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
262,890000,890000,2,1,0,XALPA,"VENTA DE DEPARTAMENTO EN CITLALLI, IZTAPALAPA, CIUDAD DE MEXICO",XALPA,19.3111259961,19.3111259961
263,1950300,1950300,2,1,0,TORRE BLANCA,VENTA DE DEPARTAMENTO EN MEXICO TACUBA,TORRE BLANCA,19.4574907732,19.4574907732
264,8950000,8950000,2,3,0,COL. IRRIGACION,"DEPARTAMENTO EN VENTA EN IRRIGACION, MIGUEL HIDALGO, CDMX",MIGUEL HIDALGO,19.4359898482,19.4359898482
265,4407300,4407300,2,2,0,PORTALES SUR,"DEPARTAMENTO EN VENTA EN PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
266,11975000,11975000,3,3,0,LOMAS DE BEZARES,"DEPARTAMENTO EN VENTA, LOMAS DE BEZARES, EN ARBOLADA REFORMA, MIGUEL HIDALGO, CIUDAD DE MEXICO",LOMAS DE BEZARES,19.3924448773,19.3924448773
267,5300000,5300000,4,3,0,SAN JUAN TEPEPAN,"CASA EN VENTA UBICADA EN SANTA MARIA TEPEPAN XOCHIMILCO, CIUDAD DE MEXICO",SAN JUAN,19.3783640536,19.3783640536
269,2495000,2495000,2,2,0,ALBERT,DEPARTAMENTO EN VENTA COL ALBERT,ALBERT,19.3705739851,19.3705739851
270,6970000,6970000,3,2,0,OLIVAR DE LOS PADRES,"VENTA DE DEPARTAMENTO OLIVAR DE LOS PADRES, ALVARO OBREGON, CIUDAD DE MEXICO",LOS PADRES,19.3198377904,19.3198377904
271,3800000,3800000,5,3,0,ANO DE JUAREZ,"SE VENDE CASA, EN LOMAS DE SAN LORENZO, IZTAPALAPA CIUDAD DE MEXICO",SAN LORENZO,19.2791265995,19.2791265995
272,4435000,4435000,2,2,0,ESCANDON II SECC,"DEPARTAMENTO EN VENTA UBICADO EN LA COLONIA ESCANDON, CDMX",ESCANDON II,19.3999943604,19.3999943604
273,9500000,9500000,4,4+,0,COLONIA CONDESA,PENT HOUSE EN VENTA CONDESA,CONDESA,19.4147504858,19.4147504858
274,1509000,1509000,1,1,0,POSTAL,"DEPARTAMENTO EN PRE VENTA EN POSTAL, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
275,1529000,1529000,1,1,0,POSTAL,"DEPARTAMENTO EN PRE VENTA EN POSTAL, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
276,2567100,2567100,2,1,0,POSTAL,"DEPARTAMENTO EN PRE VENTA EN POSTAL, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
279,5990000,5990000,2,2,1,COLONIA CONDESA,VENTA DEPARTAMENTO CONDESA,CONDESA,19.4147504858,19.4147504858
280,5800000,5800000,2,2,0,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO PANUCO, DELEGACION CUAUHTEMOC CDMX",CUAUHTEMOC,19.3200700913,19.3200700913
284,2700000,2700000,2,2,0,ALAMOS,"SE VENDE  DEPARTAMENTO EN LA COLONIA  ALAMOS, BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
285,4600000,4600000,2,2,0,SANTA FE,"DEPARTAMENTO EN VENTA EN SANTA FE, ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
290,3900000,3900000,2,2,0,PERIODISTA,"DEPARTAMENTO EN VENTA EN MIGUEL HIDALGO, CDMX",MIGUEL HIDALGO,19.4359898482,19.4359898482
291,16000000,16000000,3,4+,0,XOCO,"VENTA DE CASA A ESTRENAR EN XOCO, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
292,7990000,7990000,3,3,0,EL MOLINO,"CASA EN CONDOMINIO EN VENTA EN CUAJIMALPA DE MORELOS, CDMX",EL MOLINO,19.3654592429,19.3654592429
293,4100000,4100000,2,2,0,MIGUEL HIDALGO,"DEPARTAMENTO EN VENTA EN SAN ANGEL, ALVARO OBREGON, CIUDAD DE MEXICO",SAN ANGEL,19.3456616645,19.3456616645
295,4425830,4425830,2,2,1,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN CUAUHTEMOC 661 EN BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
296,5697113,5697113,2,2,1,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN CUAUHTEMOC 661 EN BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
297,3403530,3403530,2,2,1,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN CUAUHTEMOC 661 EN BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
298,2690000,2690000,2,1,0,SAN JOSE INSURGENTES,VENTA DE DEPARTAMENTO EN SAN JOSE INSURGENTES CIUDAD DE MEXICO,SAN JOSE,19.2716370692,19.2716370692
299,3234650,3234650,3,2,0,GRANJAS MODERNAS,"DEPARTAMENTO EN PREVENTA EN GRANJAS MODERNAS, GUSTAVO A. MADERO, CIUDAD DE MEXICO",MODERNA,19.395254545,19.395254545
301,3350000,3350000,2,2,2,ADOLFO LOPEZ MATEOS,AV. MEXICO MANZANASTITLA,ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
302,3500000,3500000,1,1,1,LOCAXCO,"DEPARTAMENTO EN VENTA EN RESIDENCIAL SENDA SANTA FE, CONTADERO, 1 RECAMARA.",SANTA FE,19.3892631023,19.3892631023
303,2690000,2690000,2,1,0,SAN JOSE INSURGENTES,VENTA DE DEPARTAMENTO EN SAN JOSE INSURGENTES CIUDAD DE MEXICO,SAN JOSE,19.2716370692,19.2716370692
304,3234650,3234650,3,2,0,GRANJAS MODERNAS,"DEPARTAMENTO EN PREVENTA EN GRANJAS MODERNAS, GUSTAVO A. MADERO, CIUDAD DE MEXICO",MODERNA,19.395254545,19.395254545
305,3689529,3689529,2,2,1,ALAMOS,"DEPARTAMENTO EN VENTA EN SEGOVIA 40 EN BENITO JUAREZ, CDMX, 2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
306,3623374,3623374,2,2,1,ALAMOS,"DEPARTAMENTO EN VENTA EN SEGOVIA 40 EN BENITO JUAREZ, CDMX, 2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
307,4040354,4040354,2,2,1,ALAMOS,"DEPARTAMENTO EN VENTA EN SEGOVIA 40 EN BENITO JUAREZ, CDMX, 2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
308,3634175,3634175,2,2,1,ALAMOS,"DEPARTAMENTO EN VENTA EN SEGOVIA 40 EN BENITO JUAREZ, CDMX, 2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
309,3583922,3583922,2,2,1,ALAMOS,"DEPARTAMENTO EN VENTA EN SEGOVIA 40 EN BENITO JUAREZ, CDMX, 2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
310,2850000,2850000,2,2,0,LA HERRADURA,"VENTA DE DEPARTAMENTO EN TETELPAN, DESIERTO DE LOS LEONES, ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
311,4696380,4696380,3,2,0,TORRE BLANCA,"DEPARTAMENTO EN VENTA A ESTRENAR EN COLONIA TORRE BLANCA, CIUDAD DE MEXICO",TORRE BLANCA,19.4574907732,19.4574907732
312,4878360,4878360,3,2,0,TORRE BLANCA,"DEPARTAMENTO EN VENTA  EN COLONIA TORRE BLANCA, MIGUEL HIDALGO, CIUDAD DE MEXICO",TORRE BLANCA,19.4574907732,19.4574907732
313,1715000,1715000,1,1,0,PENSADOR MEXICANO,"DEPARTAMENTO EN VENTA EN CDMX, PENSADOR MEXICANO, VENUSTIANO CARRANZA",VENUSTIANO CARRANZA,19.43921016,19.43921016
315,1790640,1790640,2,1,0,TORRE BLANCA,"DEPARTAMENTO EN VENTA EN CDMX, EN TACUBA, MIGUEL HIDALGO",TORRE BLANCA,19.4574907732,19.4574907732
316,2385000,2385000,3,2,0,CUAJIMALPA,"VENTA DE DEPARTAMENTO EN CONJUNTO LA LOMA, HUIXQUILUCAN, ESTADO DE MEXICO",LA LOMA,19.3702674129,19.3702674129
318,3010000,3010000,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO EN VENTA EN METRO PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
319,7300000,7300000,4,2,3,MILITAR MARTE,CASA EN PLAYA MIRAMAR,MILITAR MARTE,19.3810242212,19.3810242212
320,3033840,3033840,3,2,0,DOCTORES,"VENTA DE DEPARTAMENTO EN COLONIA DOCTORES EJE CENTRAL ,CUAUHTEMOC, CIUDAD DE MEXICO",CUAUHTEMOC,19.3200700913,19.3200700913
322,5936000,5936000,3,3,2,HEROES DE PADIERNA,"CASA EN PREVENTA EN RESIDENCIAL CUMBRES AJUSCO, TLALPAN, CDMX, 3 RECAMARAS",HEROES DE PADIERNA,19.3133186911,19.3133186911
323,25270000,25270000,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN PREVENTA EN ENCINAR, COL. SAN MATEO TLALTENANGO, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
335,18000000,18000000,4,4+,4+,MIGUEL HIDALGO VILLA OLIMPICA,RESIDENCIA EN VENTA CON EXCELENTE PROYECTO ARQUITECTONICO,MIGUEL HIDALGO,19.4359898482,19.4359898482
336,2700000,2700000,2,2,2,LA PRECIOSA,"EXCELENTE DEPARTAMENTO EN LA CALLE CENTEOTL EN AZCAPOTZALCO $ 2,700,000",LA PRECIOSA,19.4866371814,19.4866371814
344,12480000,12480000,4,2,2,PERIODISTA,VENTA HERMOSA RESIDENCIA EN COL. PERIODISTA,PERIODISTA,19.4486064484,19.4486064484
348,3961043,3961043,3,2,1,NEXTENGO,"DEPARTAMENTO EN PREVENTA EN CORINTIO CLAVERIA, NEXTENGO, 2 RECAMARAS.",CLAVERIA,19.4660515311,19.4660515311
