,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
1102,12500000,12500000,3,2,2,CHAPULTEPEC MORALES,VENTA DE DEPARTAMENTO EN POLANCO MIGUEL HIDALGO,MIGUEL HIDALGO,19.4359898482,19.4359898482
1104,10500000,10500000,3,3,2,CONTADERO,VENTA EXCELENTE CASA EN CALLE PRIVADA DE TEJOCOTES 33A CONTADERO CUAJIMALPACDMX,TEJOCOTE,19.3828144788,19.3828144788
1105,4000000,4000000,1,1,1,GRANADA,PRECIOSO LOFT EN VENTA EN PARQUES POLANCO,GRANADA,19.4399132456,19.4399132456
1106,1900000,1900000,2,1,0,LA JOYITA,DEPARTAMENTO EN VENTA LA JOYITA GUSTAVO A MADERO,LA JOYITA,19.3758462405,19.3758462405
1107,2800000,2800000,2,1,0,COL DEL VALLE SUR,DEPARTAMENTO EN VENTA ACACIAS DEL VALLE CDMX,ACACIAS,19.3641058178,19.3641058178
1108,5700000,5700000,2,2,2,SANTA FE,DEPARTAMENTO EN VENTA EN SANTA FE COSMOCRAT,SANTA FE,19.3892631023,19.3892631023
1121,8000000,8000000,6+,4+,4+,LOMAS DE CHAPULTEPEC,BAJA DE PRECIO! SUPER OPORTUNIDAD.MARAVILLOSA RESIDENCIA EN LOMAS DE CHAPULTEPEC,LOMAS DE CHAPULTEPEC,19.4228411174,19.4228411174
1125,3871000,3871000,2,2,0,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN VENTA UBICADO EN MANZANASTITLA, CUAJIMALPA DE MORELOS, CIUDAD DE MEXICO",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
1126,1463000,1463000,1,1,0,POSTAL,"DEPARTAMENTO EN PRE VENTA EN POSTAL, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
1127,5850000,5850000,2,1,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA, RIO NAZAS, CUAUHTEMOC",CUAUHTEMOC,19.3200700913,19.3200700913
1132,3133000,3133000,1,1,0,GUADALUPE INN,"DEPARTAMENTOS EN VENTA EN GUADALUPE INN, ALVARO OBREGON, CIUDAD DE MEXICO",GUADALUPE,19.2137218593,19.2137218593
1133,2558000,2558000,1,1,0,GUADALUPE INN,"DEPARTAMENTO EN VENTA EN GUADALUPE INN, ALVARO OBREGON, CIUDAD DE MEXICO",GUADALUPE,19.2137218593,19.2137218593
1134,3955000,3955000,3,2,1,MAGDALENA MIXIHUCA,VENTA DE AMPLIO DEPARTAMENTO EN EL 5TO NIVEL 70 MTS EN LA COLONIA SAN RAFAEL,SAN RAFAEL,19.4864549617,19.4864549617
1138,5600000,5600000,1,1,1,AMP GRANADA,MAGNIFICO DEPARTAMENTO EN VENTA DENTRO DE PLAZA CARSO TORRE PISSARRO 1 RECAMARA,GRANADA,19.4399132456,19.4399132456
1139,3000000,3000000,3,2,1,CD JARDIN,DEPARTAMENTO EN VENTA EN XOTEPINGO COLONIA CIUDAD JARDIN COYOACAN,XOTEPINGO,19.3282208263,19.3282208263
